included	classification_title	N	title	abstract
0	"Curry, N. and S. Watkins (2016). Considerations in Developing a Peer Mentoring Programme for a Self-Access Centre."" Studies in Self-Access Learning Journal 7(1): 16-29."""	433	"Curry, N. and S. Watkins (2016). """"Considerations in Developing a Peer Mentoring Programme for a Self-Access Centre."""" Studies in Self-Access Learning Journal 7(1): 16-29."""""	" The paper outlines a peer mentoring programme at tertiary level in Japan, where it is still an uncommon practice. It will explain the context and reasons for its introduction  namely, expanding the range of services of a busy self-access centre. It will then describe what services we wish the mentors to provide which are compatible with the aims of the centre, and what skills we believe the mentors should possess, and what they need to be trained in to successfully deliver the service. It will then describe the research opportunities which this programme should provide."""
0	"Curtis, S. (2012). politics placements and employability: a new approach."" European Political Science 11(2): 153-163."""	434	"Curtis, S. (2012). """"politics placements and employability: a new approach."""" European Political Science 11(2): 153-163."""""	" In the current theory and practice of politics work placements in the UK a great deal of emphasis is placed on lengthy placements and the cultivation of 'key' or 'transferable skills'. This article presents an alternative model of short research-based placements, which provides tangible benefits for students of politics in terms of both employability and personal development, and which gels with recent attempts to provide a richer account of the nature of employability."""
0.5	"Cusick, A., et al. (2015). Peer Assisted Study Sessions for research trainees."" Journal of Peer Learning 8: 18-33."""	435	"Cusick, A., et al. (2015). """"Peer Assisted Study Sessions for research trainees."""" Journal of Peer Learning 8: 18-33."""""	" Research training should facilitate effective researcher role development. While researcher roles require the performance of specialised knowledge and skill, they also require development of personal research identities within social contexts. Interaction with research peers can provide opportunities for reflective role development. Ad-hoc cohort-specific peer interventions are relatively common in research training, but these can lack standardisation and clear conceptual frameworks to underpin strategies. Peer Assisted Study Sessions (PASS) provide a structured approach to peer support for learning. As such, we aimed to develop, implement and evaluate a PASS program for research trainees. Participants (N = 21  (9 male, 12 female  exercise science n = 5, biomedical science n = 7, science n = 2, public health n = 4, nutrition n = 3) were post-bachelor honours students and PASS was provided on a weekly basis. Demographic, academic, and PASS data were collected from institutional records. Students completed standardised PASS satisfaction evaluations. Standard undergraduate PASS administrative, funding, and reporting strategies were successfully applied. Leader selection, training, and PASS resource development processes were adapted for the research training context. Attendance and student satisfaction was high as was timely completion of research related assessments. PASS has been shown to provide methodological consistency and a transparent conceptual framework to frame expectations about the process, leader and participant roles, and mechanisms to evaluate impact. PASS enables institutionally sanctioned but peer driven opportunities for social exchange wherein reflective interpretive approaches to research role development can be considered."""
0	"Cuthbert, D. and T. Molla (2015). PhD Crisis Discourse: A Critical Approach to the Framing of the Problem and Some Australian ""Solutions""."" Higher Education: The International Journal of Higher Education and Educational Planning 69(1): 33-53."""	436	"Cuthbert, D. and T. Molla (2015). """"PhD Crisis Discourse: A Critical Approach to the Framing of the Problem and Some Australian """"Solutions""""."""" Higher Education: The International Journal of Higher Education and Educational Planning 69(1): 33-53."""""	" A feature of HE reform discourse is the tendency to construct the rationale for reform in terms of averting calamity and risk. We refer to this risk talk as ""crisis discourse."""" This study examines the formulation of PhD crisis discourse internationally and in Australia. We find that a key feature of PhD crisis discourse is that universities are producing too many graduates for too few academic jobs""  and graduates lack skills that enable them to be productive in jobs outside academia. In Australia, the discourse has shifted from one dominated by efficiency concerns from the late 1990s to the present focus on graduate skills and employability. The policy solution to the efficiency crisis in the Australian PhD resulted in system-wide changes in research training funding focused on increased efficiency. The current unemployability discourse has as yet prompted isolated institutional responses, the introduction of new PhD programs or re-badging existing offerings as pro-skills development offerings. Following an examination of three Australian institutional responses, we conclude that the crisis discourse signals tensions surrounding the PhD: should achievement in doctoral education be measured by outcomes in intellectual excellence or the responsiveness of qualification to the current needs and priorities of society?"""
0	"Czabanowska, K., et al. (2014). Public health in the 21st century: Working differently means leading and learning differently."" European Journal of Public Health 24(6): 1047-1052."""	437	"Czabanowska, K., et al. (2014). """"Public health in the 21st century: Working differently means leading and learning differently."""" European Journal of Public Health 24(6): 1047-1052."""""	" Background: Public health needs to adapt to the complex context of 21st century Europe. Unquestionably, leaders for health require new skills to face a myriad of wicked problems and challenges that are at a critical juncture for potential improvements. Public health curricula are traditionally oriented around core educational disciplines, and there is little room for developing students’ leadership capabilities within the context of public health. The aim is to present the meaning of contemporary public health leadership based on qualitative research and propose a curriculum model for contemporary public health leadership. Methods: A series of in-depth semi-structured interviews were carried out with six European public health leaders from a variety of countries and professional backgrounds. The interviews recorded and transcribed. A thematic content analysis was undertaken to identify themes within the data. Results: Five common themes that help to inform future leadership capacity arose from the interviews: the inner path of leadership, the essence of leadership, new types of leadership, future leaders’ imperatives functioning within a complex and uncertain European public health context. Conclusion: The leadership thematic model makes an important contribution to defining public health leadership in Europe and can help to guide the content development of public health leadership curricula. The authors assert that a new ‘integrative inquiry-based learning model’, with leadership as a central component, will allow schools and departments of public health across Europe to be able to ensure that tomorrow’s public health leaders are adequately trained and prepared for the challenges they will face. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Dadich, A., et al. (2015). Finding brilliance using positive organizational scholarship in healthcare."" Journal of Health Organization and Management 29(6): 750-777."""	438	"Dadich, A., et al. (2015). """"Finding brilliance using positive organizational scholarship in healthcare."""" Journal of Health Organization and Management 29(6): 750-777."""""	" Purpose - Positive organizational scholarship in healthcare (POSH) suggests that, to promote widespread improvement within health services, focusing on the good, the excellent, and the brilliant is as important as conventional approaches that focus on the negative, the problems, and the failures. POSH offers different opportunities to learn from and build resilient cultures of safety, innovation, and change. It is not separate from tried and tested approaches to health service improvement -but rather, it approaches this improvement differently. The paper aims to discuss these issues. Design/methodology/approach - POSH, appreciative inquiry (AI) and reflective practice were used to inform an exploratory investigation of what is good, excellent, or brilliant health service management. Findings - The researchers identified new characteristics of good healthcare and what it might take to have brilliant health service management, elucidated and refined POSH, and identified research opportunities that hold potential value for consumers, practitioners, and policymakers. Research limitations/implications - The secondary data used in this study offered limited contextual information. Practical implications - This approach is a platform from which to: identify, investigate, and learn about brilliant health service management  and inform theory and practice. Social implications - POSH can help to reveal what consumers and practitioners value about health services and how they prefer to engage with these services. Originality/value - Using POSH, this paper examines what consumers and practitioners value about health services  it also illustrates how brilliance can be theorized into health service management research and practice."""
0	"Daggett, M. A. (2012). A Role for History and Philosophy of Biology in Exploring New Questions in Biology."" Bioscene: Journal of College Biology Teaching 38(2): 43-47."""	439	"Daggett, M. A. (2012). """"A Role for History and Philosophy of Biology in Exploring New Questions in Biology."""" Bioscene: Journal of College Biology Teaching 38(2): 43-47."""""	" A number of current reports are challenging educators of undergraduate biology students to increase the role, interactions and approaches of other disciplines. The goal stated in these reports is to produce a college graduate with the skills and competencies to solve pressing global problems such as producing ample food, fuels, and making health care available, while also preventing the degradation of the Earth's renewable resources. This perspectives essay presents the inspiration and motivation that resulted from the interactions and collaborations with faculty in philosophy. My goal is to describe how these interactions occurred and how it has helped to inform and guide me in the development and implementation of new biological questions that can be addressed by undergraduate researchers. It has also allowed reflection on how scholarly endeavors in biology and philosophy can complement each other."""
0	"Daher, M., et al. (2015). Impact of patients' religious and spiritual beliefs in pharmacy: From the perspective of the pharmacist."" Research in Social & Administrative Pharmacy 11(1): e31-e41."""	440	"Daher, M., et al. (2015). """"Impact of patients' religious and spiritual beliefs in pharmacy: From the perspective of the pharmacist."""" Research in Social & Administrative Pharmacy 11(1): e31-e41."""""	" Background: Socio-cultural perspectives including religious and spiritual beliefs affect medicine use and adherence. Increasingly communities that pharmacists serve are diverse and pharmacists need to counsel medicine use issues with ethical and cultural sensitivity as well as pharmaceutical competence. There is very little research in this social aspect of pharmacy practice, and certainly none conducted in Australia, an increasingly multicultural, diverse population. Objectives: The purpose of this study was to explore, from a pharmacy practitioner's viewpoint, the frequency and nature of cases where patients' articulated religious/spiritual belief affect medicine use  and pharmacist perspectives on handling these issues. Methods: Qualitative method employing semi-structured interviews with pharmacy practitioners, constructed around an interview guide. Pharmacist participants were recruited purposively from areas of linguistic diversity in Sydney, New South Wales, Australia. Verbatim transcription and thematic analyses were performed on the data. Results: Thematic analyses of 21 semi-structured interviews depicted that scenarios where religious and spiritual belief and medication use intersect were frequently encountered by pharmacists. Patient concerns with excipients of animal origin and medication use while observing religious fasts were the main issues reported. Participants displayed scientific competence  however, aspects of ethical sensitivity in handling such issues could be improved. This novel study highlights the urgent need for more research, training and resource development for practitioners serving patients in multi-faith areas. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Dahl, D. W. (2011). Clarity in Defining Product Design: Inspiring Research Opportunities for the Design Process."" Journal of Product Innovation Management 28(3): 425-427."""	441	"Dahl, D. W. (2011). """"Clarity in Defining Product Design: Inspiring Research Opportunities for the Design Process."""" Journal of Product Innovation Management 28(3): 425-427."""""	" The author argues that given the holistic, cross-functional, and unique nature of the process of product design, more research is needed to understand product design teams. Specifically, future research should address internal processes cultivated within the product design team, macro influences in the product design environment, and the definition of product design team membership."""
0	"Dai, D. Y., et al. (2011). Inquiry-Based Learning in China: Do Teachers Practice What They Preach, and Why?"" Frontiers of Education in China 6(1): 139-157."""	442	"Dai, D. Y., et al. (2011). """"Inquiry-Based Learning in China: Do Teachers Practice What They Preach, and Why?"""" Frontiers of Education in China 6(1): 139-157."""""	" China is undergoing an education reform that calls for a change from a rigid, fixed curriculum and didactic pedagogy to a more flexible, school-based curriculum and more inquiry-based pedagogy. This study investigated the extent to which Chinese middle and high school teachers (a) endorse an inquiry-based approach and underlying learning principles, (b) practice this mode of teaching, and (c) believe that the approach is practically viable in the current educational contexts in China. A structured survey was developed to solicit Chinese teachers' responses to the above three issues. A total of 582 valid responses were collected, representing middle and high schools in different geographic locations. The results show that Chinese teachers are receptive to inquiry-based pedagogy but find practical constraints in fully implementing it. Several cultural and pragmatic reasons are explored. Policy implications are discussed with respect to teacher education/development, capacity building for the new pedagogy, and teaching/evaluation alignment. Finally cultural issues are discussed regarding using inquiry-based learning to enhance critical thinking and nurture independent thinkers."""
0.5	"Dalgleish, R., et al. (2012). A Mini-Library of Sequenced Human DNA Fragments: Linking Bench Experiments with Informatics."" Journal of Biological Education 46(3): 193-198."""	443	"Dalgleish, R., et al. (2012). """"A Mini-Library of Sequenced Human DNA Fragments: Linking Bench Experiments with Informatics."""" Journal of Biological Education 46(3): 193-198."""""	" We describe the development of a mini-library of human DNA fragments for use in an enquiry-based learning (EBL) undergraduate practical incorporating ""wet-lab"""" and bioinformatics tasks. In spite of the widespread emergence of the polymerase chain reaction (PCR), the cloning and analysis of DNA fragments in """"Escherichia coli"""" remains a fundamental skill commonly taught to undergraduate biology students. The individual procedures are simple enough, but enthusiastic engagement of the students in practical exercises requires that a better learning experience be offered to them than the simple opportunity to participate. To address this issue we have prepared a mini-library of well-characterised fragments of human DNA in a small plasmid vector. We have generated high-quality sequence data for each end of the human DNAs and there are sufficient clones for around 80 students to each engage in a series of enquiry-based activities producing results that are unique to each student. This resource allows the students to experience the real-life integration of """"wet-lab"""" and bioinformatics approaches in modern molecular genetics. The experimental procedures are aimed at molecular genetics students commencing their second year of undergraduate study, but the materials could also be used with more advanced groups, up to and including masters degree level, by appropriate adaptation and extension of the range of experimental techniques used. (Contains 4 figures.)"""""
0	"Damawati, N. A. C. and E. A. Juanda (2016). THE EFFECT OF INQUIRY BASED LEARNING ON THE REASONING ABILITY OF GRADE VII STUDENTS ABOUT HEAT CONCEPT."" Jurnal Pendidikan Fisika Indonesia-Indonesian Journal of Physics Education 12(1): 19-25."""	444	"Damawati, N. A. C. and E. A. Juanda (2016). """"THE EFFECT OF INQUIRY BASED LEARNING ON THE REASONING ABILITY OF GRADE VII STUDENTS ABOUT HEAT CONCEPT."""" Jurnal Pendidikan Fisika Indonesia-Indonesian Journal of Physics Education 12(1): 19-25."""""	" This study aimed to analyze the effect of Inquiry Based Learningon the reasoning ability of grade 7 students about heat concept. This study is a quasi-experimental research design with non-equivalent post-test only controls group design. Two groups of seventh grade students were included as samples, which receive the experimental class of Inquiry Based Learning treatment while the other group acted as a control group who received the learning process in accordance with the applicable provisions of the curriculum. The data collected in this study is the students reasoning ability which obtained from the test of reasoning ability. Data were analyzed using descriptive statistics and statistical parametric t-test. Results of independet research shows that there are significant differences in reasoning abilities between the experimental class and control class. In this research, the experiment class perform more better reasoning skills than the control class. (C) 2016 Jurusan Fisika FMIPA UNNES Semarang"""
0	"D'Angelo, A. L. D., et al. (2015). Residents' perception of skill decay during dedicated research time."" Journal of Surgical Research 199(1): 23-31."""	445	"D'Angelo, A. L. D., et al. (2015). """"Residents' perception of skill decay during dedicated research time."""" Journal of Surgical Research 199(1): 23-31."""""	" Background: Surgery residents may take years away from clinical responsibilities for dedicated research time. As part of a longitudinal project, the study aim was to investigate residents' perceptions of clinical skill reduction during dedicated research time. Our hypothesis was that residents would perceive a greater potential reduction in skill during research time for procedures they were less confident in performing. Materials and methods: Surgical residents engaged in dedicated research training at multiple training programs participated in four simulated procedures: urinary catheterization, subclavian central line, bowel anastomosis, and laparoscopic ventral hernia (LVH) repair. Using preprocedure and postprocedure surveys, participants rated procedures for confidence and difficulty. Residents also indicated the perceived level of skills reduction for the four procedures as a result of time in the laboratory. Results: Thirty-eight residents (55% female) completed the four clinical simulators. Participants had between 0-36 mo in a laboratory (M = 9.29 mo, standard deviation = 9.38). Pre-procedure surveys noted lower confidence and higher perceived difficulty for performing the LVH repair followed by bowel anastomosis, central line insertion, and urinary catheterization (P < 0.05). Residents perceived the greatest reduction in bowel anastomosis and LVH repair skills compared with urinary catheterization and subclavian central line insertion (P < 0.001). Postprocedure surveys showed significant effects of the simulation scenarios on resident perception for urinary catheterization (P < 0.05) and LVH repair (P < 0.05). Conclusions: Residents in this study expected greater skills decay for the procedures they had lower confidence performing and greater perceived difficulty. In addition, carefully adapted simulation scenarios had a significant effect on resident perception and may provide a mechanism for maintaining skills and keeping confidence grounded in experience. (C) 2015 Elsevier Inc. All rights reserved."""
0	"Daniel, R. and L. Daniel (2015). Enhancing capacity for success in the creative industries: Undergraduate student reflections on the implementation of work-integrated learning strategies."" Asia-Pacific Journal of Cooperative Education 16(3): 199-209."""	446	"Daniel, R. and L. Daniel (2015). """"Enhancing capacity for success in the creative industries: Undergraduate student reflections on the implementation of work-integrated learning strategies."""" Asia-Pacific Journal of Cooperative Education 16(3): 199-209."""""	" This article reflects ongoing research-led teaching in the area of creative industries in higher education. Specifically it reports on key work-integrated learning strategies designed to better prepare graduates for the employment sector. The creative industries sector is complex and competitive, characterized by non-linear career paths driven by the individual. Following contextualization of the key issues, a core creative industries subject and curriculum is described, which requires students to engage directly with industry practitioners via internships or case studies. In order to interrogate the impact of these activities, a sample of final reflections as well as formal student feedback on the subject were analyzed in order to draw out key themes in relation to student learning and understanding. Analysis of these data propose that direct engagement with practitioners assists students in developing new knowledge of the capacities they will require for a sustainable career."""
1	"Daniels, H., et al. (2016). Factors Influencing Student Gains from Undergraduate Research Experiences at a Hispanic-Serving Institution."" Cbe-Life Sciences Education 15(3)."""	447	"Daniels, H., et al. (2016). """"Factors Influencing Student Gains from Undergraduate Research Experiences at a Hispanic-Serving Institution."""" Cbe-Life Sciences Education 15(3)."""""	" Undergraduate research experiences (UREs) confer many benefits to students, including improved self-confidence, better communication skills, and an increased likelihood of pursuing science careers. Additionally, UREs may be particularly important for racial/ethnic minority students who are underrepresented in the science workforce. We examined factors hypothetically relevant to underrepresented minority student gains from UREs at a Hispanic-serving institution, such as mentoring quality, family income, being Latino/a, and caring for dependents. Data came from a 2013 survey of University of Texas at El Paso students engaged in 10 URE programs (n = 227). Using generalized linear models (GzLMs) and adjusting for known covariates, we found that students who reported receiving higher-quality mentorship, spending more hours caring for dependents, and receiving more programmatic resources experienced significantly greater gains from their URE in all three areas we examined (i.e., thinking and working like a scientist, personal gains, and gains in skills). In two of three areas, duration of the URE was positive and significant. Being Latino/a was positive and significant only in the model predicting personal gains. Across the three models, quality of mentorship was the most important correlate of gains. This suggests that providing training to faculty mentors involved in UREs may improve student outcomes and increase program efficacy."""
0	"Daniels, J., et al. (2015). Supporting early career health investigators in Kenya: A qualitative study of HIV/AIDS research capacity building."" Pan African Medical Journal 20."""	448	"Daniels, J., et al. (2015). """"Supporting early career health investigators in Kenya: A qualitative study of HIV/AIDS research capacity building."""" Pan African Medical Journal 20."""""	" Introduction: strategies to transfer international health research training programs to sub-Saharan African institutions focus on developing cadres of local investigators who will lead such programs. Using a critical leadership theory framework, we conducted a qualitative study of one program to understand how collaborative training and research can support early career investigators in Kenya toward the program transfer goal. Methods: We used purposive sampling methods and a semi-structured protocol to conduct in-depth interviews with US (N= 5) and Kenyan (N= 5) independent investigators. Transcripts were coded using a two-step process, and then compared with each other to identify major themes. Results: A limited local research environment, funding needs and research career mentorship were identified as major influences on early career researchers. Institutional demands on Kenyan faculty to teach rather than complete research restricted investigators' ability to develop research careers. This was coupled with lack of local funding to support research. Sustainable collaborations between Kenyan, US and other international investigators were perceived to mitigate these challenges and support early career investigators who would help build a robust local research environment for training. Conclusion: mutually beneficial collaborations between Kenyan and US investigators developed during training mitigate these challenges and build a supportive research environment for training. In these collaborations, early career investigators learn how to navigate the complex international research environment to build local HIV research capacity. Shared and mutually beneficial resources within international research collaborations are required to support early career investigators and plans to transfer health research training to African institutions."""
1	"Danker, B. (2015). Using Flipped Classroom Approach to Explore Deep Learning in Large Classrooms."" IAFOR Journal of Education 3(1): 171-186."""	449	"Danker, B. (2015). """"Using Flipped Classroom Approach to Explore Deep Learning in Large Classrooms."""" IAFOR Journal of Education 3(1): 171-186."""""	" This project used two Flipped Classroom approaches to stimulate deep learning in large classrooms during the teaching of a film module as part of a Diploma in Performing Arts course at Sunway University, Malaysia. The flipped classes utilized either a blended learning approach where students first watched online lectures as homework, and then completed their assignments and practical work in class  or utilized a guided inquiry approach at the beginning of class using this same process. During the class the lecturers were present to help the students, and in addition, the students were advantaged by being able to help one another. The in-class learning activities also included inquiry-based learning, active learning, and peer-learning. This project used an action research approach to improve the in-class instructional design progressively to achieve its impact of deep learning among the students. The in-class learning activities that was included in the later flipped classes merged aspects of blended learning with an inquiry-based learning cycle which focused on the exploration of concepts. Data was gathered from questionnaires filled out by the students and from short interviews with the students, as well as from the teacher's reflective journals. The findings verified that the flipped classrooms were able to remodel large lecture classes into active-learning classes. The results also support the possibility of individualised learning for the students as being high as a result of the teacher's ability to provide one-on-one tutoring through technology-infused lessons. It is imperative that the in-class learning activities are purposefully designed as the inclusion of the exploratory learning through guided inquiry-based activities in the flipped classes was a successful way to engage students on a deeper level and increased the students' curiosity and engaged them to develop higher-order thinking skills. This project also concluded that flipped classrooms had promising impact for student learning and achievement in a Performing Arts course in Malaysia."""
1	"Danowitz, A. M., et al. (2016). A Combination Course and Lab-Based Approach to Teaching Research Skills to Undergraduates."" Journal of Chemical Education 93(3): 434-438."""	450	"Danowitz, A. M., et al. (2016). """"A Combination Course and Lab-Based Approach to Teaching Research Skills to Undergraduates."""" Journal of Chemical Education 93(3): 434-438."""""	" Undergraduate research is an important capstone experience that provides students with the conceptual and technical aptitude for graduate or industrial research. However, this experience is often compressed into a single term in a course-based undergraduate research experience (CURE) or run by individual faculty members for select students on an ad hoc basis as an undergraduate research experience (URE). One alternative to these two possibilities is to use a team-taught course during students' third year to help them develop fundamental skills that they use to prepare and present a research proposal. This proposal serves as a vehicle for improving students' ability to assimilate information from the primary research literature and for them to practice evaluating the safety and research ethics aspects of projects. Students also use their proposals as research plans for their remaining year and a half of college. Data gathered indicate that this course was effective and that it could be a useful addition to other departments' curricula, particularly at teaching-focused institutions."""
0	"Darling, J., et al. (2007). Learning about the means to the end: What US introductory psychology students report about experimental participation."" Psychology Learning & Teaching 6(2): 91-97."""	451	"Darling, J., et al. (2007). """"Learning about the means to the end: What US introductory psychology students report about experimental participation."""" Psychology Learning & Teaching 6(2): 91-97."""""	" Previous research has shown that when asked to rate their agreement with statements regarding their attitudes towards participation in psychological experiments, students reported that their participation was of educational value (e.g., Bowman and Waite, 2003  Landrum and Chastain, 1995). We investigated what kinds of learning experiences students would report when prompted with open ended questions regarding their participation. Four open ended questions asked how seriously participants took the research experience, what participants gained from studies, what were commonalties among the studies and how their classroom experience helped with understanding the experiments. In addition to reporting that they took their participation seriously, students reported that they learned not only about psychological content but also about the process of conducting psychological research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	Darling-Hammond, L. (2012). Policy Frameworks for New Assessments.	452	Darling-Hammond, L. (2012). Policy Frameworks for New Assessments.	" Many nations around the world have undertaken wide-ranging reforms of curriculum, instruction, and assessment with the intention of better preparing all children for the higher educational demands of life and work in the twenty-first century. While large-scale testing systems in some countries emphasize multiple-choice items that evaluate recall and recognition of discrete facts, there is growing use in many countries of more sophisticated approaches. These approaches include not only more analytical selected response items, but also open-ended items and curriculum-embedded tasks that require students to analyze, apply knowledge, and communicate more extensively, both orally and in writing. A growing emphasis on project-based, inquiry-oriented learning has led to increasing prominence for school-based tasks in state and national systems, taking in research projects, science investigations, use of technology to access information and solve authentic problems, development of products, and presenations about these efforts. This chapter briefly describes the policy frameworks for assessment systems in Australia, Finland, Singapore, and the UK, with special attention given to identifying cases where assessment of twenty-first century skills has been or may be developed in assessment systems that report information at the national or state, as well as local, levels."""
0	"Darra, S. (2008). Emotion work and the ethics of novice insider research."" Journal of Research in Nursing 13(3): 251-261."""	453	"Darra, S. (2008). """"Emotion work and the ethics of novice insider research."""" Journal of Research in Nursing 13(3): 251-261."""""	" This paper relates to research practice and in particular, it explores the practice of insider research in a study carried out as part of a research training fellowship. The effects of research on the researcher and the researched are discussed and extracts from transcripts and a research diary are used to illustrate ethical dilemmas that may arise from such a study. The role of the novice researcher is central to the discussion and the concept of 'emotion work' is used to illustrate the hidden consequences of seemingly innocuous insider research. The paper contributes to the body of knowledge relating to qualitative research methods, by combining reflection with emotion work and novice insider research. Despite it being largely about the novice researcher studying within her own profession, it raises important points that may be of interest to more experienced researchers working in other domains. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
0	"Dasgupta, A. P., et al. (2014). Development and Validation of a Rubric for Diagnosing Students' Experimental Design Knowledge and Difficulties."" CBE - Life Sciences Education 13(2): 265-284."""	454	"Dasgupta, A. P., et al. (2014). """"Development and Validation of a Rubric for Diagnosing Students' Experimental Design Knowledge and Difficulties."""" CBE - Life Sciences Education 13(2): 265-284."""""	" It is essential to teach students about experimental design, as this facilitates their deeper understanding of how most biological knowledge was generated and gives them tools to perform their own investigations. Despite the importance of this area, surprisingly little is known about what students actually learn from designing biological experiments. In this paper, we describe a rubric for experimental design (RED) that can be used to measure knowledge of and diagnose difficulties with experimental design. The development and validation of the RED was informed by a literature review and empirical analysis of undergraduate biology students' responses to three published assessments. Five areas of difficulty with experimental design were identified: the variable properties of an experimental subject  the manipulated variables  measurement of outcomes  accounting for variability  and the scope of inference appropriate for experimental findings. Our findings revealed that some difficulties, documented some 50 yr ago, still exist among our undergraduate students, while others remain poorly investigated. The RED shows great promise for diagnosing students' experimental design knowledge in lecture settings, laboratory courses, research internships, and course-based undergraduate research experiences. It also shows potential for guiding the development and selection of assessment and instructional activities that foster experimental design."""
0	"Davenport, D. E. and B. Porter (2008). Starting and Running an REU for Minorities and Women."" PRIMUS 18(2): 183-197."""	455	"Davenport, D. E. and B. Porter (2008). """"Starting and Running an REU for Minorities and Women."""" PRIMUS 18(2): 183-197."""""	" The decreasing number of U.S. citizens with advanced degrees in the mathematical sciences is a growing concern. Also of concern is the small number of advanced degrees in the sciences going to African Americans, Latinos, and women. Several Research Experience for Undergraduates (REU) programs have been developed to address these issues. In this article we describe the design of our ongoing program, the Summer Undergraduate Mathematical Sciences Research Institute (SUMSRI), in the Department of Mathematics and Statistics at Miami University."""
0	"Davies, L., et al. (2015). The SQUIRE Guidelines: an evaluation from the field, 5 years post release."" Bmj Quality & Safety 24(12): 769-775."""	456	"Davies, L., et al. (2015). """"The SQUIRE Guidelines: an evaluation from the field, 5 years post release."""" Bmj Quality & Safety 24(12): 769-775."""""	" Background The Standards for Quality Improvement Reporting Excellence (SQUIRE) Guidelines were published in 2008 to increase the completeness, precision and accuracy of published reports of systematic efforts to improve the quality, value and safety of healthcare. Since that time, the field has expanded. We asked people from the field to evaluate the Guidelines, a novel approach to a first step in revision. Methods Evaluative design using focus groups and semi-structured interviews with 29 end users and an advisory group of 18 thinkers in the field. Sampling of end users was purposive to achieve variation in work setting, geographic location, area of expertise, manuscript writing experience, healthcare improvement and research experience. Results Study participants reported that SQUIRE was useful in planning a healthcare improvement project, but not as helpful during writing because of redundancies, uncertainty about what was important to include and lack of clarity in items. The concept ""planning the study of the intervention"""" (item 10) was hard for many participants to understand. Participants varied in their interpretation of the meaning of item 10b """"the concept of the mechanism by which changes were expected to occur"""". Participants disagreed about whether iterations of an intervention should be reported. Level of experience in writing, knowledge of the science of improvement and the evolving meaning of some terms in the field are hypothesised as the reasons for these findings. Conclusions The original SQUIRE Guidelines help with planning healthcare improvement work, but are perceived as complicated and unclear during writing. Key goals of the revision will be to clarify items where conflict was identified and outline the key components necessary for complete reporting of improvement work."""""
0	"Davila, A. and G. Foster (2008). The Adoption and Evolution of Management Control Systems in Entrepreneurial Companies: Evidence and a Promising Future."" Handbook of Management Accounting Research, Vol 3: 1323-1336."""	457	"Davila, A. and G. Foster (2008). """"The Adoption and Evolution of Management Control Systems in Entrepreneurial Companies: Evidence and a Promising Future."""" Handbook of Management Accounting Research, Vol 3: 1323-1336."""""	" Management control systems have traditionally been perceived as detrimental to the entrepreneurial spirit that characterizes start-up companies. However, recent evidence suggests that the opposite holds-these systems are required for these firms to fulfil their growth potential. This chapter discusses the empirical evidence that is starting to accumulate around this research topic. These early studies have just outlined a topic that deserves better understanding and a more diverse set of theoretical lenses to understand the forces shaping the results from these studies. The chapter also presents the theories and frameworks relevant to management control systems in entrepreneurial companies. Again, these concepts are just initial efforts with a significant need for further development. The map of the field that emerges from the analysis in this chapter is a fascinating field relevant to advance our knowledge of control systems, with many research opportunities. This is a field that is not only relevant from an academic perspective, but of utmost importance for managers."""
0	"Davila, T. and M. Wouters (2007). Management Accounting in the Manufacturing Sector: Managing Costs at the Design and Production Stages."" Handbook of Management Accounting Research, Vol 2: 831-858."""	458	"Davila, T. and M. Wouters (2007). """"Management Accounting in the Manufacturing Sector: Managing Costs at the Design and Production Stages."""" Handbook of Management Accounting Research, Vol 2: 831-858."""""	" This chapter analyzes the empirical research literature on management accounting in the manufacturing sector including the development as well and manufacturing phases of the product lifecycle. As managing product development has gained terrain in companies over the last 15 years, management accounting research has contributed to the advancement of this field of knowledge. Changes in the manufacturing environment, such as significant upfront investments and ongoing overhead costs, demanding performance criteria besides efficiency, or critical linkages across the value chain have contributed to a fruitful research in management accounting in manufacturing. The chapter identifies significant advances in this knowledge base and highlights future research opportunities."""
0	"Davis, A. (2012). A Monstrous Regimen of Synthetic Phonics: Fantasies of Research-Based Teaching ""Methods"" versus Real Teaching."" Journal of Philosophy of Education 46(4): 560-573."""	459	"Davis, A. (2012). """"A Monstrous Regimen of Synthetic Phonics: Fantasies of Research-Based Teaching """"Methods"""" versus Real Teaching."""" Journal of Philosophy of Education 46(4): 560-573."""""	" In England, Higher Education institutions, together with the schools whose staff they train, are being required to incorporate synthetic phonics as one of the key approaches to the teaching of reading. Yet even if synthetic phonics can be identified as one of the component ""skills"""" of reading, an assumption vigorously contested in this paper, it does not follow that it can or should be taught explicitly and independently of reading for meaning. Imposing such a """"method"""" is, at a deep level, incompatible with teachers acting as teachers and potentially constitutes a kind of abuse of early readers. Moreover, because of the conceptual difficulties confronting any attempt to specify synthetic phonics as an approach, there cannot exist, in principle, empirical research that actually supports its value. Current policy in England since the Rose Report, at least, assumes the opposite. All this cannot be dismissed as a little local difficulty for England concerning the teaching of reading English with all its spelling irregularities: there are broader implications for the relationship between research and teaching, together with continuing tendencies to impose """"teacher proof"""" approaches on schools and their staff in many countries. (Contains 6 notes.)"""""
